,Unnamed: 0,Assists,BlockedShots,CornersWon,Crosses,DefenderCleanSheets,FantasyPoints,FantasyPointsDraftKings,FantasyPointsMondogoal,Fouled,Fouls,GameId,Games,GlobalGameId,GlobalOpponentId,GlobalTeamId,GoalkeeperCleanSheets,GoalkeeperGoalsAgainst,GoalkeeperSaves,GoalkeeperSingleGoalAgainst,GoalkeeperWins,Goals,Interceptions,LastManTackle,Minutes,Offsides,OpponentId,OpponentScore,OwnGoals,Passes,PassesCompleted,PenaltiesConceded,PenaltiesWon,PenaltyKickGoals,PenaltyKickMisses,PenaltyKickSaves,RedCards,RoundId,Score,Season,SeasonType,Shots,ShotsOnGoal,StatId,TacklesWon,TeamId,Touches,YellowCards,YellowRedCards,goal_against_label,GA_unique_label,goal_label
765,6,0,3,3,14,0,47,47,15,13,19,10523,14,90010523,90000917,90001123,0,1,1,1,0,0,14,0,1115,1,917,1,0,512,383,0,0,0,0,0,0,157,0,2018,1,9,1,982435,18,1123,719,2,0,1,1,0
766,7,1,5,2,14,4,101,101,16,15,14,10523,14,90010523,90001123,90000917,1,0,1,0,1,1,16,0,1115,4,1123,0,0,436,317,0,0,0,0,0,0,157,1,2018,1,16,2,982436,14,917,643,3,0,0,0,1
767,8,3,6,7,23,1,173,173,24,18,10,10829,14,90010829,90000684,90000679,1,0,1,0,1,3,21,0,1115,2,684,0,0,740,666,1,0,0,0,1,0,170,3,2018,1,25,9,982477,24,679,965,1,0,0,0,3
768,9,0,4,4,15,0,34,34,13,11,19,10829,14,90010829,90000679,90000684,0,3,4,0,0,0,11,0,1115,4,679,3,0,423,347,0,1,0,1,0,0,170,0,2018,1,7,1,982478,13,684,634,2,0,1,3,0
769,10,0,1,5,16,3,70,70,12,20,20,12189,13,90012189,90000545,90000534,1,0,4,0,0,0,10,0,1074,0,545,0,0,338,245,0,0,0,0,0,0,145,0,2018,1,7,2,982514,14,534,530,3,1,0,0,0
770,11,0,1,7,29,4,87,87,17,19,20,12189,14,90012189,90000534,90000545,1,0,2,0,0,0,10,0,1110,3,534,0,0,548,464,0,0,0,0,0,0,145,0,2018,1,16,4,982515,10,545,751,1,1,0,0,0
771,12,1,2,9,16,0,89,89,20,14,5,11185,13,90011185,90000893,90000901,0,1,2,1,0,1,12,0,1115,0,893,1,0,818,737,0,0,0,0,0,0,147,1,2018,1,16,7,982552,19,901,1025,3,0,1,1,1
772,13,0,5,4,14,0,66,66,15,5,15,11185,14,90011185,90000901,90000893,0,1,6,1,0,1,14,0,1115,0,901,1,0,463,385,0,0,0,0,0,0,147,1,2018,1,13,3,982553,12,893,677,1,0,1,1,1
773,14,1,1,4,5,5,102,102,15,28,20,12839,14,90012839,90001169,90000625,1,0,5,0,1,1,5,0,1115,1,1169,0,0,491,388,0,0,0,0,0,0,182,1,2018,1,11,2,982590,14,625,695,5,0,0,0,1
774,15,0,3,6,32,0,52,52,3,20,27,12839,14,90012839,90000625,90001169,0,1,1,1,0,0,12,0,1115,7,625,1,0,324,234,0,0,0,0,0,0,182,0,2018,1,11,4,982591,11,1169,526,7,0,1,1,0
775,16,1,0,2,27,0,118,118,21,18,20,13658,14,90013658,90000658,90000651,0,1,5,1,1,2,29,0,1115,3,658,1,0,415,270,0,0,0,0,0,0,187,2,2018,1,13,4,982627,13,651,664,0,0,1,1,2
776,17,1,7,10,24,0,100,100,19,16,18,13658,14,90013658,90000651,90000658,0,2,2,0,0,1,22,0,1115,3,651,2,0,417,276,0,0,0,0,0,0,187,1,2018,1,27,6,982628,12,658,678,1,0,1,2,1
777,0,0,2,3,6,0,30,30,5,19,20,14349,14,90014349,90000929,90001231,0,3,3,0,0,0,18,0,1104,1,929,3,0,197,115,1,0,0,0,0,0,217,0,2018,3,5,1,981551,12,1231,364,6,1,1,3,0
778,1,2,4,5,29,4,144,144,13,20,20,14349,14,90014349,90001231,90000929,1,0,1,0,1,3,9,0,1115,0,1231,0,0,610,531,0,1,1,0,0,0,217,3,2018,3,24,6,981552,9,929,819,4,0,0,0,3
779,2,0,1,3,14,0,71,71,22,16,12,14346,14,90014346,90001258,90001078,0,1,6,1,0,0,23,0,1115,0,1258,1,0,444,344,0,0,0,0,0,0,217,0,2018,3,12,4,981589,11,1078,677,1,0,1,1,0
780,3,0,1,11,30,4,119,119,17,15,20,14346,13,90014346,90001078,90001258,1,0,4,0,1,1,13,0,1115,4,1078,0,0,376,267,0,0,0,0,0,0,217,1,2018,3,18,7,981590,14,1258,586,1,0,0,0,1
